diagnosis,recommended_drugs
"bipolar ii disorder, agitated behavior","Lamotrigine, Lithium, Quetiapine"
"Schizophrenia, unspecified - outpatient follow-up","Risperidone, Olanzapine, Aripiprazole"
mild obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Acute exacerbation of Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"adjustment disorder with depressed mood, requires hospitalization","Escitalopram, Sertraline, Bupropion"
dsm-5 diagnosis: attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
severe borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Attention-deficit hyperactivity disorder (ADHD) - compliant with meds,"Methylphenidate, Amphetamine, Atomoxetine"
Restless legs syndrome - experiencing hallucinations,"Pramipexole, Ropinirole, Gabapentin"
confirmed nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"Chronic Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Narcolepsy - mood swings reported,"Modafinil, Armodafinil, Sodium oxybate"
severe panic disorder,"Alprazolam, Clonazepam, Paroxetine"
nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
suspected autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
"body dysmorphic disorder, suicidal ideation present","Sertraline, Fluoxetine, Escitalopram"
Schizotypal personality disorder - patient stable,"Risperidone, Olanzapine, Haloperidol"
dsm-5 diagnosis: anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Chronic Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
"binge-eating disorder, first psychotic episode","Lisdexamfetamine, Topiramate, Fluoxetine"
Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
tourette's disorder,"Haloperidol, Pimozide, Clonidine"
History of Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Confirmed Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"attention-deficit hyperactivity disorder (adhd), worsening symptoms","Methylphenidate, Amphetamine, Atomoxetine"
Mild Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"major depressive disorder, recurrent, requires hospitalization","Venlafaxine, Duloxetine, Bupropion"
Acute exacerbation of Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
Post-traumatic stress disorder (PTSD) - compliant with meds,"Sertraline, Paroxetine, Prazosin"
Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"nervousness or severe stress, compliant with meds","Hydroxyzine, Buspirone, Propranolol"
Binge-eating disorder - agitated behavior,"Lisdexamfetamine, Topiramate, Fluoxetine"
"Major depressive disorder, recurrent - high anxiety levels","Venlafaxine, Duloxetine, Bupropion"
persistent depressive,"Citalopram, Sertraline, Mirtazapine"
"bipolar i disorder, manic episode, compliant with meds","Lithium, Valproate, Quetiapine"
acute exacerbation of bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
"bipolar i disorder, depressed episode, worsening symptoms","Lurasidone, Quetiapine, Lamotrigine"
High risk of Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
Body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
Primary insomnia - needs dosage adjustment,"Zolpidem, Eszopiclone, Trazodone"
DSM-5 Diagnosis: Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"nervousness or severe stress, high anxiety levels","Hydroxyzine, Buspirone, Propranolol"
"schizoaffective disorder, patient stable","Paliperidone, Clozapine, Haloperidol"
Tourette's disorder - needs dosage adjustment,"Haloperidol, Pimozide, Clonidine"
Post-traumatic stress disorder (PTSD) - outpatient follow-up,"Sertraline, Paroxetine, Prazosin"
history of autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
panic disorder,"Alprazolam, Clonazepam, Paroxetine"
Acute stress disorder - outpatient follow-up,"Clonazepam, Propranolol, Hydroxyzine"
"Mild Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"bipolar i disorder, depressed episode, patient stable","Lurasidone, Quetiapine, Lamotrigine"
confirmed bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"brief psychotic disorder, first psychotic episode","Haloperidol, Risperidone, Olanzapine"
"major depressive disorder, recurrent, needs dosage adjustment","Venlafaxine, Duloxetine, Bupropion"
Assessment: Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Mild Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Persistent depressive disorder (Dysthymia) - requires hospitalization,"Citalopram, Sertraline, Mirtazapine"
"persistent depressive disorder (dysthymia), poor sleep quality","Citalopram, Sertraline, Mirtazapine"
acute exacerbation of seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
confirmed delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Mild Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
alcohol withdrawal,"Chlordiazepoxide, Diazepam, Lorazepam"
High risk of Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"Bipolar I disorder, depressed episode - suicidal ideation present","Lurasidone, Quetiapine, Lamotrigine"
suspected adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
dsm-5 diagnosis: narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Assessment: Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"dsm-5 diagnosis: schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"acute exacerbation of bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
Post-traumatic stress disorder (PTSD) - outpatient follow-up,"Sertraline, Paroxetine, Prazosin"
"Bipolar I disorder, depressed episode - needs dosage adjustment","Lurasidone, Quetiapine, Lamotrigine"
History of Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"high risk of major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
"nervousness or severe stress, agitated behavior","Hydroxyzine, Buspirone, Propranolol"
dsm-5 diagnosis: delusional disorder,"Aripiprazole, Risperidone, Pimozide"
post-traumatic stress,"Sertraline, Paroxetine, Prazosin"
suspected bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
Nicotine dependence - suicidal ideation present,"Varenicline, Bupropion, Nicotine patch"
Mild Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
high risk of nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Confirmed Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"Bipolar I disorder, depressed episode - patient stable","Lurasidone, Quetiapine, Lamotrigine"
High risk of Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
suspected bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
"seasonal affective disorder, agitated behavior","Bupropion, Fluoxetine, Sertraline"
bipolar i,"Lithium, Valproate, Quetiapine"
Panic disorder - outpatient follow-up,"Alprazolam, Clonazepam, Paroxetine"
social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Autism spectrum disorder (irritability) - resistant to therapy,"Risperidone, Aripiprazole, Guanfacine"
Bipolar II disorder - high anxiety levels,"Lamotrigine, Lithium, Quetiapine"
"Bipolar I disorder, manic episode - requires hospitalization","Lithium, Valproate, Quetiapine"
Borderline personality disorder - compliant with meds,"Lamotrigine, Aripiprazole, Fluoxetine"
opioid dependence,"Buprenorphine, Naltrexone, Methadone"
chronic restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Panic disorder - worsening symptoms,"Alprazolam, Clonazepam, Paroxetine"
"chronic bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"Major depressive disorder, recurrent - experiencing hallucinations","Venlafaxine, Duloxetine, Bupropion"
Severe Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Patient presents with Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Chronic Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Nervousness or,"Hydroxyzine, Buspirone, Propranolol"
Suspected Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Confirmed Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
assessment: body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"hoarding disorder, poor sleep quality","Venlafaxine, Paroxetine, Sertraline"
Severe Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Alcohol dependence - high anxiety levels,"Naltrexone, Acamprosate, Disulfiram"
Body dysmorphic disorder - requires hospitalization,"Sertraline, Fluoxetine, Escitalopram"
Schizotypal personality disorder - high anxiety levels,"Risperidone, Olanzapine, Haloperidol"
"bulimia nervosa, poor sleep quality","Fluoxetine, Topiramate, Sertraline"
"bulimia nervosa, resistant to therapy","Fluoxetine, Topiramate, Sertraline"
"adjustment disorder with depressed mood, agitated behavior","Escitalopram, Sertraline, Bupropion"
Opioid dependence - requires hospitalization,"Buprenorphine, Naltrexone, Methadone"
severe social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Confirmed Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Chronic Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
High risk of Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Acute exacerbation of Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
Schizotypal personality disorder - worsening symptoms,"Risperidone, Olanzapine, Haloperidol"
"acute exacerbation of schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Mild Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Alcohol withdrawal syndrome - high anxiety levels,"Chlordiazepoxide, Diazepam, Lorazepam"
Generalized anxiety disorder - requires hospitalization,"Sertraline, Buspirone, Venlafaxine"
Generalized anxiety disorder - compliant with meds,"Sertraline, Buspirone, Venlafaxine"
Acute exacerbation of Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
major depressive,"Venlafaxine, Duloxetine, Bupropion"
"agoraphobia, resistant to therapy","Paroxetine, Sertraline, Fluoxetine"
anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
suspected narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
DSM-5 Diagnosis: Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Panic disorder - outpatient follow-up,"Alprazolam, Clonazepam, Paroxetine"
Alcohol withdrawal syndrome - high anxiety levels,"Chlordiazepoxide, Diazepam, Lorazepam"
Schizotypal personality disorder - needs dosage adjustment,"Risperidone, Olanzapine, Haloperidol"
Attention-deficit hyperactivity disorder (ADHD) - high anxiety levels,"Methylphenidate, Amphetamine, Atomoxetine"
Panic disorder - patient stable,"Alprazolam, Clonazepam, Paroxetine"
"persistent depressive disorder (dysthymia), patient stable","Citalopram, Sertraline, Mirtazapine"
"narcolepsy, needs dosage adjustment","Modafinil, Armodafinil, Sodium oxybate"
Assessment: Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
High risk of Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
mild alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"High risk of Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"major depressive disorder, recurrent, agitated behavior","Venlafaxine, Duloxetine, Bupropion"
dsm-5 diagnosis: body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Nervousness or severe stress - needs dosage adjustment,"Hydroxyzine, Buspirone, Propranolol"
Tourette's disorder - agitated behavior,"Haloperidol, Pimozide, Clonidine"
Post-traumatic stress disorder (PTSD) - resistant to therapy,"Sertraline, Paroxetine, Prazosin"
Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Schizoaffective disorder - high anxiety levels,"Paliperidone, Clozapine, Haloperidol"
"bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
Severe Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Binge-eating disorder - high anxiety levels,"Lisdexamfetamine, Topiramate, Fluoxetine"
Bulimia nervosa - outpatient follow-up,"Fluoxetine, Topiramate, Sertraline"
"opioid withdrawal, experiencing hallucinations","Buprenorphine, Methadone, Clonidine"
Severe Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
"brief psychotic disorder, patient stable","Haloperidol, Risperidone, Olanzapine"
"Schizophrenia, unspecified - patient stable","Risperidone, Olanzapine, Aripiprazole"
Confirmed Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
History of Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"Major depressive disorder, recurrent - poor sleep quality","Venlafaxine, Duloxetine, Bupropion"
"nervousness or severe stress, patient stable","Hydroxyzine, Buspirone, Propranolol"
"severe schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Alcohol dependence - agitated behavior,"Naltrexone, Acamprosate, Disulfiram"
alcohol withdrawal,"Chlordiazepoxide, Diazepam, Lorazepam"
dsm-5 diagnosis: acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
High risk of Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
assessment: borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"persistent depressive disorder (dysthymia), outpatient follow-up","Citalopram, Sertraline, Mirtazapine"
Major depressive,"Venlafaxine, Duloxetine, Bupropion"
Assessment: Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"schizoaffective disorder, compliant with meds","Paliperidone, Clozapine, Haloperidol"
High risk of Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Persistent depressive disorder (Dysthymia) - cognitive decline,"Citalopram, Sertraline, Mirtazapine"
"Bipolar I disorder, manic episode - mood swings reported","Lithium, Valproate, Quetiapine"
Patient presents with Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"bulimia nervosa, outpatient follow-up","Fluoxetine, Topiramate, Sertraline"
"attention-deficit hyperactivity disorder (adhd), poor sleep quality","Methylphenidate, Amphetamine, Atomoxetine"
Assessment: Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
"Confirmed Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
suspected alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
dsm-5 diagnosis: obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
acute exacerbation of post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
Body dysmorphic disorder - needs dosage adjustment,"Sertraline, Fluoxetine, Escitalopram"
"brief psychotic disorder, mood swings reported","Haloperidol, Risperidone, Olanzapine"
history of acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
DSM-5 Diagnosis: Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"Bipolar I disorder, depressed episode - outpatient follow-up","Lurasidone, Quetiapine, Lamotrigine"
history of obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Persistent depressive disorder (Dysthymia) - suicidal ideation present,"Citalopram, Sertraline, Mirtazapine"
High risk of Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
"obsessive-compulsive disorder, cognitive decline","Fluvoxamine, Clomipramine, Fluoxetine"
Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"cyclothymic disorder, needs dosage adjustment","Valproate, Lithium, Lamotrigine"
"cyclothymic disorder, high anxiety levels","Valproate, Lithium, Lamotrigine"
chronic schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Panic disorder - high anxiety levels,"Alprazolam, Clonazepam, Paroxetine"
Mild Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"restless legs syndrome, outpatient follow-up","Pramipexole, Ropinirole, Gabapentin"
Chronic Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
"Major depressive disorder, single episode - worsening symptoms","Sertraline, Fluoxetine, Escitalopram"
Alcohol dependence - mood swings reported,"Naltrexone, Acamprosate, Disulfiram"
"hoarding disorder, requires hospitalization","Venlafaxine, Paroxetine, Sertraline"
Post-traumatic stress,"Sertraline, Paroxetine, Prazosin"
"seasonal affective disorder, patient stable","Bupropion, Fluoxetine, Sertraline"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
attention-deficit hyperactivity,"Methylphenidate, Amphetamine, Atomoxetine"
History of Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
suspected anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Opioid dependence - needs dosage adjustment,"Buprenorphine, Naltrexone, Methadone"
Acute stress disorder - compliant with meds,"Clonazepam, Propranolol, Hydroxyzine"
severe body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
Assessment: Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Restless legs,"Pramipexole, Ropinirole, Gabapentin"
"Major depressive disorder, recurrent - worsening symptoms","Venlafaxine, Duloxetine, Bupropion"
"Major depressive disorder, recurrent - poor sleep quality","Venlafaxine, Duloxetine, Bupropion"
"social anxiety disorder, suicidal ideation present","Sertraline, Propranolol, Venlafaxine"
confirmed binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Acute exacerbation of Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
major depressive,"Venlafaxine, Duloxetine, Bupropion"
"History of Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"Patient presents with Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
acute exacerbation of nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
suspected nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
chronic delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Suspected Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
history of persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
Post-traumatic stress disorder (PTSD) - resistant to therapy,"Sertraline, Paroxetine, Prazosin"
Cyclothymic disorder - high anxiety levels,"Valproate, Lithium, Lamotrigine"
DSM-5 Diagnosis: Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
Panic disorder - cognitive decline,"Alprazolam, Clonazepam, Paroxetine"
Opioid withdrawal - mood swings reported,"Buprenorphine, Methadone, Clonidine"
"hoarding disorder, first psychotic episode","Venlafaxine, Paroxetine, Sertraline"
"major depressive disorder, recurrent, suicidal ideation present","Venlafaxine, Duloxetine, Bupropion"
history of nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Cyclothymic disorder - first psychotic episode,"Valproate, Lithium, Lamotrigine"
"Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
"schizoaffective disorder, cognitive decline","Paliperidone, Clozapine, Haloperidol"
"alcohol withdrawal syndrome, experiencing hallucinations","Chlordiazepoxide, Diazepam, Lorazepam"
Assessment: Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Assessment: Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Suspected Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"patient presents with bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
DSM-5 Diagnosis: Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"Patient presents with Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
"severe major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Assessment: Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
Narcolepsy - patient stable,"Modafinil, Armodafinil, Sodium oxybate"
"cyclothymic disorder, requires hospitalization","Valproate, Lithium, Lamotrigine"
Bipolar I,"Lurasidone, Quetiapine, Lamotrigine"
Body dysmorphic disorder - patient stable,"Sertraline, Fluoxetine, Escitalopram"
Acute stress disorder - requires hospitalization,"Clonazepam, Propranolol, Hydroxyzine"
Social anxiety,"Sertraline, Propranolol, Venlafaxine"
restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
"major depressive disorder, recurrent, compliant with meds","Venlafaxine, Duloxetine, Bupropion"
Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
history of anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Severe Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Restless legs syndrome - worsening symptoms,"Pramipexole, Ropinirole, Gabapentin"
history of agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"generalized anxiety disorder, poor sleep quality","Sertraline, Buspirone, Venlafaxine"
"cyclothymic disorder, mood swings reported","Valproate, Lithium, Lamotrigine"
"Mild Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"chronic schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
borderline personality,"Lamotrigine, Aripiprazole, Fluoxetine"
patient presents with agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"history of major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Assessment: Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Assessment: Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
high risk of persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
Acute exacerbation of Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
History of Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Seasonal affective disorder - compliant with meds,"Bupropion, Fluoxetine, Sertraline"
Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
"autism spectrum disorder (irritability), experiencing hallucinations","Risperidone, Aripiprazole, Guanfacine"
suspected binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
"bulimia nervosa, first psychotic episode","Fluoxetine, Topiramate, Sertraline"
"schizotypal personality disorder, cognitive decline","Risperidone, Olanzapine, Haloperidol"
High risk of Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"bipolar ii disorder, outpatient follow-up","Lamotrigine, Lithium, Quetiapine"
alcohol withdrawal,"Chlordiazepoxide, Diazepam, Lorazepam"
Alcohol dependence - high anxiety levels,"Naltrexone, Acamprosate, Disulfiram"
Schizotypal personality disorder - first psychotic episode,"Risperidone, Olanzapine, Haloperidol"
"autism spectrum disorder (irritability), requires hospitalization","Risperidone, Aripiprazole, Guanfacine"
"schizoaffective disorder, cognitive decline","Paliperidone, Clozapine, Haloperidol"
"bipolar i disorder, depressed episode, patient stable","Lurasidone, Quetiapine, Lamotrigine"
Assessment: Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Bipolar II,"Lamotrigine, Lithium, Quetiapine"
bipolar i,"Lithium, Valproate, Quetiapine"
"persistent depressive disorder (dysthymia), requires hospitalization","Citalopram, Sertraline, Mirtazapine"
high risk of autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"Severe Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
"binge-eating disorder, needs dosage adjustment","Lisdexamfetamine, Topiramate, Fluoxetine"
chronic primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"hoarding disorder, outpatient follow-up","Venlafaxine, Paroxetine, Sertraline"
Persistent depressive disorder (Dysthymia) - cognitive decline,"Citalopram, Sertraline, Mirtazapine"
Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
assessment: narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"bipolar i disorder, manic episode, poor sleep quality","Lithium, Valproate, Quetiapine"
Seasonal affective disorder - cognitive decline,"Bupropion, Fluoxetine, Sertraline"
mild tourette's disorder,"Haloperidol, Pimozide, Clonidine"
DSM-5 Diagnosis: Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
"bulimia nervosa, outpatient follow-up","Fluoxetine, Topiramate, Sertraline"
acute exacerbation of social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
mild borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Acute stress disorder - compliant with meds,"Clonazepam, Propranolol, Hydroxyzine"
alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
high risk of body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
severe narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
patient presents with obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"schizotypal personality disorder, experiencing hallucinations","Risperidone, Olanzapine, Haloperidol"
"hoarding disorder, patient stable","Venlafaxine, Paroxetine, Sertraline"
"schizotypal personality disorder, experiencing hallucinations","Risperidone, Olanzapine, Haloperidol"
"schizotypal personality disorder, poor sleep quality","Risperidone, Olanzapine, Haloperidol"
"suspected schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
History of Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
severe obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Adjustment disorder with depressed mood - patient stable,"Escitalopram, Sertraline, Bupropion"
Bulimia nervosa - outpatient follow-up,"Fluoxetine, Topiramate, Sertraline"
Social anxiety,"Sertraline, Propranolol, Venlafaxine"
"Bipolar I disorder, depressed episode - first psychotic episode","Lurasidone, Quetiapine, Lamotrigine"
"delusional disorder, suicidal ideation present","Aripiprazole, Risperidone, Pimozide"
mild social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"schizoaffective disorder, high anxiety levels","Paliperidone, Clozapine, Haloperidol"
confirmed tourette's disorder,"Haloperidol, Pimozide, Clonidine"
nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"Bipolar I disorder, manic episode - compliant with meds","Lithium, Valproate, Quetiapine"
"dsm-5 diagnosis: bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
Tourette's disorder - experiencing hallucinations,"Haloperidol, Pimozide, Clonidine"
Brief psychotic disorder - suicidal ideation present,"Haloperidol, Risperidone, Olanzapine"
Persistent depressive disorder (Dysthymia) - first psychotic episode,"Citalopram, Sertraline, Mirtazapine"
high risk of post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
severe acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
