diagnosis,severity
"Mild symptoms, no complications due to Impacted cerumen, unspecified ear",LOW
R10.9: Unspecified abdominal pain (no acute distress),LOW
"K29.70 - Gastritis, unspecified",LOW
"N39.0 - Urinary tract infection, site not specified",LOW
"Fatal prognosis risk due to Malignant melanoma of skin, unspecified",HIGH
patient presents with acne vulgaris,LOW
"Liver cell carcinoma - life-threatening, immediate intervention",HIGH
"Atopic dermatitis, unspecified",MEDIUM
"malignant neoplasm of colon, unspecified",HIGH
Confirmed case of Acute and subacute hepatic failure,HIGH
Follow-up required in 1 week due to Paroxysmal atrial fibrillation,MEDIUM
"Acute kidney failure, unspecified - acute emergency, rapid response",HIGH
Dysuria - no acute distress,LOW
"Mild symptoms, no complications due to Allergy, unspecified",LOW
K57.30 - Diverticulosis of large intestine,MEDIUM
"G91.9: Hydrocephalus, unspecified (fatal prognosis risk)",HIGH
"A49.9: Bacterial infection, unspecified (severe) (advanced stage, palliative care discussed)",HIGH
"patient presents with intracranial injury, unspecified",HIGH
Follow-up required in 1 week due to Gastro-esophageal reflux with esophagitis,MEDIUM
Assessment: Malignant neoplasm of unspecified part of bronchus or lung,HIGH
Needs specialist referral due to Essential (primary) hypertension,MEDIUM
Follow-up required in 1 week due to Benign prostatic hyperplasia without obstruction,MEDIUM
"M54.5: Low back pain (patient stable, outpatient treatment)",LOW
"Urinary tract infection, site not specified - minor pain, prescribed rest",LOW
B18.2: Chronic viral hepatitis C (stable but requires medication adjustment),MEDIUM
"Patient stable, outpatient treatment due to Allergic rhinitis, unspecified",LOW
"Fatal prognosis risk due to Bacterial infection, unspecified (severe)",HIGH
J30.1: Allergic rhinitis due to pollen (no acute distress),LOW
"B34.9 Viral infection,",LOW
"Pneumonia, unspecified organism - follow-up required in 1 week",MEDIUM
Human immunodeficiency virus (HIV) disease - immediate surgery required,HIGH
"Recurring symptoms due to Atopic dermatitis, unspecified",MEDIUM
"Liver cell carcinoma - life-threatening, immediate intervention",HIGH
"A49.9 Bacterial infection,",HIGH
"K02.9 - Dental caries, unspecified",LOW
"D65: Disseminated intravascular coagulation (critical condition, ICU admission)",HIGH
"Malignant neoplasm of unspecified part of bronchus or lung - acute emergency, rapid response",HIGH
J30.1 Allergic rhinitis,LOW
K80.20: Calculus of gallbladder without obstruction (flare-up event),MEDIUM
"Allergic rhinitis, unspecified - minor condition, follow-up in 2 weeks",LOW
Multiple sclerosis,HIGH
I10: Essential (primary) hypertension (follow-up required in 1 week),MEDIUM
"Assessment: Rheumatoid arthritis, unspecified",MEDIUM
"bacterial infection, problem",HIGH
"J18.9: Pneumonia, unspecified organism (flare-up event)",MEDIUM
Chronic viral hepatitis C - recurring symptoms,MEDIUM
"Acute kidney failure, unspecified - fatal prognosis risk",HIGH
"G40.909: Epilepsy, unspecified, not intractable (follow-up required in 1 week)",MEDIUM
Type 1 diabetes with ketoacidosis,HIGH
J00: Acute nasopharyngitis (common cold) (self-limiting condition),LOW
"Abdominal aortic aneurysm, ruptured - advanced stage, palliative care discussed",HIGH
"B18.2: Chronic viral hepatitis C (moderate symptoms, requires monitoring)",MEDIUM
"Thyrotoxicosis, unspecified - recurring symptoms",MEDIUM
"Acute kidney failure, unspecified - severe presentation, urgent care needed",HIGH
"I50.9 - Heart failure, unspecified",HIGH
"I71.3: Abdominal aortic aneurysm, ruptured (advanced stage, palliative care discussed)",HIGH
confirmed case of essential (primary) hypertension,MEDIUM
"I71.3: Abdominal aortic aneurysm, ruptured (acute emergency, rapid response)",HIGH
"assessment: hydrocephalus, unspecified",HIGH
"Pneumonia, unspecified organism",MEDIUM
Age-related osteoporosis without fracture - recurring symptoms,MEDIUM
Patient presents with Type 1 diabetes with ketoacidosis,HIGH
"Pain in unspecified joint - mild symptoms, no complications",LOW
"Uncomfortable episode, managing with meds due to Chronic kidney disease, stage 3",MEDIUM
R30.0 - Dysuria,LOW
"Anemia, unspecified - chronic condition, ongoing treatment",MEDIUM
"Bipolar disorder, unspecified - needs specialist referral",MEDIUM
"I46.9 - Cardiac arrest, cause unspecified",HIGH
"Superficial injury of unspecified body region - patient stable, outpatient treatment",LOW
End stage renal disease,HIGH
acute leukemia problem,HIGH
"Life-threatening, immediate intervention due to Malignant neoplasm of brain, unspecified",HIGH
"Minor pain, prescribed rest due to Otitis media, unspecified",LOW
"Minor pain, prescribed rest due to Otitis media, unspecified",LOW
age-related osteoporosis without fracture,MEDIUM
"Impacted cerumen, unspecified ear - minor pain, prescribed rest",LOW
"Moderate symptoms, requires monitoring due to Post-traumatic stress disorder, unspecified",MEDIUM
atherosclerotic heart disease,MEDIUM
"Immediate surgery required due to Intracranial injury, unspecified",HIGH
"C22.0: Liver cell carcinoma (advanced stage, palliative care discussed)",HIGH
"Amyotrophic lateral sclerosis (ALS) - advanced stage, palliative care discussed",HIGH
R10.9: Unspecified abdominal pain (self-limiting condition),LOW
M54.5: Low back pain (routine exam),LOW
"H61.20: Impacted cerumen, unspecified ear (minor pain, prescribed rest)",LOW
history of infectious gastroenteritis and colitis,MEDIUM
Flare-up event due to Gastro-esophageal reflux with esophagitis,MEDIUM
human immunodeficiency virus (hiv) disease,HIGH
G47.33: Obstructive sleep apnea (recurring symptoms),MEDIUM
Benign prostatic hyperplasia without obstruction,MEDIUM
"alzheimer disease, unspecified",HIGH
"constipation, unspecified",LOW
"Spondylosis with radiculopathy, cervical - uncomfortable episode, managing with meds",MEDIUM
I48.0 Paroxysmal atrial,MEDIUM
suspected acute nasopharyngitis (common cold),LOW
"Advanced stage, palliative care discussed due to Human immunodeficiency virus (HIV) disease",HIGH
G35: Multiple sclerosis (fatal prognosis risk),HIGH
"Life-threatening, immediate intervention due to Acute myocardial infarction, unspecified",HIGH
"F32.1: Major depressive disorder, single episode, moderate (chronic condition, ongoing treatment)",MEDIUM
malignant neoplasm problem,HIGH
C34.90 - Malignant neoplasm of unspecified part of bronchus or lung,HIGH
"ulcerative colitis, unspecified",MEDIUM
N40.0 Benign prostatic,MEDIUM
"E03.9: Hypothyroidism, unspecified (flare-up event)",MEDIUM
"Needs specialist referral due to Dyslipidemia, unspecified",MEDIUM
"J44.1: Chronic obstructive pulmonary disease with exacerbation (moderate symptoms, requires monitoring)",MEDIUM
benign prostatic problem,MEDIUM
"E78.5: Dyslipidemia, unspecified (follow-up required in 1 week)",MEDIUM
J45.20 Mild intermittent,MEDIUM
"Acute respiratory distress syndrome - severe presentation, urgent care needed",HIGH
Traumatic shock,HIGH
E11.9 - Type 2 diabetes mellitus without complications,MEDIUM
"Advanced stage, palliative care discussed due to Cardiac arrest, cause unspecified",HIGH
I25.10 Atherosclerotic heart,MEDIUM
"heart failure, problem",HIGH
"Multiple sclerosis - acute emergency, rapid response",HIGH
suspected dysuria,LOW
"B34.9 Viral infection,",LOW
"Type 2 diabetes with hyperglycemia - severe presentation, urgent care needed",HIGH
"I73.9: Peripheral vascular disease, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"Schizophrenia, unspecified",HIGH
"urinary tract infection, site not specified",LOW
patient presents with acute and subacute hepatic failure,HIGH
confirmed case of chronic obstructive pulmonary disease with exacerbation,MEDIUM
"Uncomfortable episode, managing with meds due to Epilepsy, unspecified, not intractable",MEDIUM
Primary insomnia - self-limiting condition,LOW
"Diverticulosis of large intestine - uncomfortable episode, managing with meds",MEDIUM
"Confirmed case of Allergy, unspecified",LOW
Recurring symptoms due to Atherosclerotic heart disease,MEDIUM
"K50.90 - Crohn disease, unspecified",MEDIUM
"K30: Functional dyspepsia (minor condition, follow-up in 2 weeks)",LOW
"Schizophrenia, unspecified",HIGH
"J03.90 - Acute tonsillitis, unspecified",LOW
"Follow-up required in 1 week due to Peripheral vascular disease, unspecified",MEDIUM
"Minor pain, prescribed rest due to Acute tonsillitis, unspecified",LOW
end stage problem,HIGH
"G43.909 Migraine, unspecified,",MEDIUM
"G20: Parkinson disease (uncomfortable episode, managing with meds)",MEDIUM
"J45.20: Mild intermittent asthma, uncomplicated (stable but requires medication adjustment)",MEDIUM
"L60.0: Ingrowing nail (minor pain, prescribed rest)",LOW
"Schizophrenia, unspecified - severe trauma protocol active",HIGH
end stage renal disease,HIGH
"Advanced stage, palliative care discussed due to Acute leukemia of unspecified cell type",HIGH
"H10.9: Conjunctivitis, unspecified (minor condition, follow-up in 2 weeks)",LOW
Acute leukemia of unspecified cell type - fatal prognosis risk,HIGH
"bipolar disorder, unspecified",MEDIUM
"Chronic condition, ongoing treatment due to Mild intermittent asthma, uncomplicated",MEDIUM
"M54.5: Low back pain (mild symptoms, no complications)",LOW
Slight discomfort reported due to Functional dyspepsia,LOW
acute leukemia of unspecified cell type,HIGH
"Advanced stage, palliative care discussed due to Human immunodeficiency virus (HIV) disease",HIGH
"Pneumonia, unspecified organism",MEDIUM
"acute bronchitis, unspecified",MEDIUM
"panniculitis, unspecified",LOW
T14.0 - Superficial injury of unspecified body region,LOW
"Patient stable, outpatient treatment due to Viral wart, unspecified",LOW
"No acute distress due to Dental caries, unspecified",LOW
"Malignant neoplasm of unspecified part of bronchus or lung - advanced stage, palliative care discussed",HIGH
"M79.3: Panniculitis, unspecified (minor condition, follow-up in 2 weeks)",LOW
"Dermatitis, unspecified - mild symptoms, no complications",LOW
"Moderate symptoms, requires monitoring due to Major depressive disorder, single episode, moderate",MEDIUM
"Calculus of gallbladder without obstruction - moderate symptoms, requires monitoring",MEDIUM
"alzheimer disease, problem",HIGH
"Slight discomfort reported due to Iron deficiency anemia, unspecified",LOW
"Slight discomfort reported due to Impacted cerumen, unspecified ear",LOW
Recurring symptoms due to Gastro-esophageal reflux with esophagitis,MEDIUM
"chronic kidney disease, stage 3",MEDIUM
"Urinary tract infection, site not specified - self-limiting condition",LOW
I25.10 - Atherosclerotic heart disease,MEDIUM
"L40.0: Psoriasis vulgaris (uncomfortable episode, managing with meds)",MEDIUM
R30.0: Dysuria (self-limiting condition),LOW
"Life-threatening, immediate intervention due to Hydrocephalus, unspecified",HIGH
"assessment: crohn disease, unspecified",MEDIUM
"Peripheral vascular disease, unspecified",MEDIUM
"Acute emergency, rapid response due to Cardiac arrest, cause unspecified",HIGH
"acute pharyngitis, unspecified",LOW
"C95.00: Acute leukemia of unspecified cell type (advanced stage, palliative care discussed)",HIGH
"M06.9 - Rheumatoid arthritis, unspecified",MEDIUM
"Severe presentation, urgent care needed due to Sepsis, unspecified organism",HIGH
L40.0: Psoriasis vulgaris (stable but requires medication adjustment),MEDIUM
Flare-up event due to Calculus of gallbladder without obstruction,MEDIUM
L40.0: Psoriasis vulgaris (flare-up event),MEDIUM
"Iron deficiency anemia, unspecified",LOW
Lateral epicondylitis - no acute distress,LOW
"Critical condition, icu admission due to End stage renal disease",HIGH
N39.0 Urinary tract,LOW
confirmed case of paroxysmal atrial fibrillation,MEDIUM
"Acute kidney failure, unspecified - advanced stage, palliative care discussed",HIGH
"D64.9 - Anemia, unspecified",MEDIUM
Generalized anxiety disorder,MEDIUM
"J20.9: Acute bronchitis, unspecified (uncomfortable episode, managing with meds)",MEDIUM
K80.20 Calculus of,MEDIUM
"Mild intermittent asthma, uncomplicated - needs specialist referral",MEDIUM
K80.20 - Calculus of gallbladder without obstruction,MEDIUM
Calculus of gallbladder without obstruction - recurring symptoms,MEDIUM
"Chronic condition, ongoing treatment due to Acute bronchitis, unspecified",MEDIUM
"F32.1 - Major depressive disorder, single episode, moderate",MEDIUM
E11.65: Type 2 diabetes with hyperglycemia (immediate surgery required),HIGH
"Unspecified cirrhosis of liver - critical condition, ICU admission",HIGH
"atopic dermatitis, unspecified",MEDIUM
"C95.00: Acute leukemia of unspecified cell type (critical condition, ICU admission)",HIGH
"B34.9: Viral infection, unspecified (mild symptoms, no complications)",LOW
"history of acute kidney failure, unspecified",HIGH
"Patient presents with Panniculitis, unspecified",LOW
Paroxysmal atrial fibrillation - stable but requires medication adjustment,MEDIUM
"G43.909: Migraine, unspecified, not intractable (stable but requires medication adjustment)",MEDIUM
Unspecified cirrhosis of liver,HIGH
"Assessment: Anemia, unspecified",MEDIUM
"Cardiac arrest, cause unspecified - advanced stage, palliative care discussed",HIGH
L60.0: Ingrowing nail (routine exam),LOW
"Minor pain, prescribed rest due to Unspecified abdominal pain",LOW
Follow-up required in 1 week due to Chronic viral hepatitis C,MEDIUM
"Minor pain, prescribed rest due to Dental caries, unspecified",LOW
History of Primary insomnia,LOW
"suspected dyslipidemia, unspecified",MEDIUM
I71.3 Abdominal aortic,HIGH
gastro-esophageal reflux problem,MEDIUM
"Stable but requires medication adjustment due to Spondylosis with radiculopathy, cervical",MEDIUM
"J30.9: Allergic rhinitis, unspecified (minor condition, follow-up in 2 weeks)",LOW
"E05.90: Thyrotoxicosis, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"I46.9: Cardiac arrest, cause unspecified (immediate surgery required)",HIGH
C43.9 Malignant melanoma,HIGH
"J02.9 Acute pharyngitis,",LOW
"Iron deficiency anemia, unspecified - patient stable, outpatient treatment",LOW
"Allergy, unspecified - patient stable, outpatient treatment",LOW
atherosclerotic heart disease,MEDIUM
"I26.99: Pulmonary embolism without acute cor pulmonale (life-threatening, immediate intervention)",HIGH
"G43.909: Migraine, unspecified, not intractable (recurring symptoms)",MEDIUM
"I63.9 - Cerebral infarction, unspecified (stroke)",HIGH
"F32.1: Major depressive disorder, single episode, moderate (flare-up event)",MEDIUM
"Immediate surgery required due to Emphysema, unspecified",HIGH
"C50.919: Malignant neoplasm of unspecified site of breast (life-threatening, immediate intervention)",HIGH
"Viral wart, unspecified",LOW
"C25.9: Malignant neoplasm of pancreas, unspecified (acute emergency, rapid response)",HIGH
Primary insomnia,LOW
Pulmonary embolism without acute cor pulmonale - fatal prognosis risk,HIGH
"Mild intermittent asthma, uncomplicated - follow-up required in 1 week",MEDIUM
C61: Malignant neoplasm of prostate (immediate surgery required),HIGH
"Needs specialist referral due to Migraine, unspecified, not intractable",MEDIUM
primary insomnia,LOW
"I73.9: Peripheral vascular disease, unspecified (needs specialist referral)",MEDIUM
N40.0: Benign prostatic hyperplasia without obstruction (follow-up required in 1 week),MEDIUM
Acute leukemia of unspecified cell type - immediate surgery required,HIGH
"Age-related osteoporosis without fracture - moderate symptoms, requires monitoring",MEDIUM
"patient presents with migraine, unspecified, not intractable",MEDIUM
"H61.20 - Impacted cerumen, unspecified ear",LOW
"Cardiac arrest, cause unspecified - severe trauma protocol active",HIGH
"Life-threatening, immediate intervention due to Acute leukemia of unspecified cell type",HIGH
"Acute bronchitis, unspecified - chronic condition, ongoing treatment",MEDIUM
Obstructive sleep apnea - needs specialist referral,MEDIUM
"Severe trauma protocol active due to Intracranial injury, unspecified",HIGH
"I26.99: Pulmonary embolism without acute cor pulmonale (advanced stage, palliative care discussed)",HIGH
"G91.9: Hydrocephalus, unspecified (severe trauma protocol active)",HIGH
"K74.60: Unspecified cirrhosis of liver (acute emergency, rapid response)",HIGH
K74.60 - Unspecified cirrhosis of liver,HIGH
"acute tonsillitis, problem",LOW
"J18.9: Pneumonia, unspecified organism (needs specialist referral)",MEDIUM
iron deficiency problem,LOW
"Critical condition, icu admission due to Acute myocardial infarction, unspecified",HIGH
"Malignant neoplasm of brain, unspecified",HIGH
Immediate surgery required due to Acute and subacute hepatic failure,HIGH
"dental caries, unspecified",LOW
"Pneumonia, unspecified organism - needs specialist referral",MEDIUM
"K74.60: Unspecified cirrhosis of liver (severe presentation, urgent care needed)",HIGH
"bacterial infection, unspecified (severe)",HIGH
"J45.20 - Mild intermittent asthma, uncomplicated",MEDIUM
"Confirmed case of Viral infection, unspecified",LOW
"Minor condition, follow-up in 2 weeks due to Contusion of finger",LOW
Dysuria,LOW
M54.5 - Low back pain,LOW
"B20: Human immunodeficiency virus (HIV) disease (life-threatening, immediate intervention)",HIGH
parkinson disease,MEDIUM
Pain in unspecified joint - routine exam,LOW
Assessment: Ingrowing nail,LOW
K72.00: Acute and subacute hepatic failure (fatal prognosis risk),HIGH
M25.50: Pain in unspecified joint (routine exam),LOW
allergic rhinitis due to pollen,LOW
"G43.909: Migraine, unspecified, not intractable (moderate symptoms, requires monitoring)",MEDIUM
S90.0: Contusion of ankle (self-limiting condition),LOW
"Needs specialist referral due to Migraine, unspecified, not intractable",MEDIUM
"F20.9: Schizophrenia, unspecified (fatal prognosis risk)",HIGH
Infectious gastroenteritis and colitis - recurring symptoms,MEDIUM
"Life-threatening, immediate intervention due to Heart failure, unspecified",HIGH
End stage renal disease,HIGH
"acute bronchitis, unspecified",MEDIUM
"Recurring symptoms due to Anemia, unspecified",MEDIUM
"Advanced stage, palliative care discussed due to Hydrocephalus, unspecified",HIGH
"L20.9: Atopic dermatitis, unspecified (follow-up required in 1 week)",MEDIUM
"J03.90: Acute tonsillitis, unspecified (self-limiting condition)",LOW
"Peripheral vascular disease, unspecified",MEDIUM
"F43.10: Post-traumatic stress disorder, unspecified (flare-up event)",MEDIUM
E56.0: Vitamin E deficiency (no acute distress),LOW
C18.9 Malignant neoplasm,HIGH
"E05.90: Thyrotoxicosis, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"History of Allergic rhinitis, unspecified",LOW
"History of Acute respiratory failure, unspecified",HIGH
"Minor condition, follow-up in 2 weeks due to Nervousness",LOW
"Impacted cerumen, unspecified ear - no acute distress",LOW
"History of Acute bronchitis, unspecified",MEDIUM
abdominal aortic problem,HIGH
"Moderate symptoms, requires monitoring due to Acute bronchitis, unspecified",MEDIUM
"J02.9: Acute pharyngitis, unspecified (routine exam)",LOW
J80: Acute respiratory distress syndrome (severe trauma protocol active),HIGH
Confirmed case of Paroxysmal atrial fibrillation,MEDIUM
"Advanced stage, palliative care discussed due to Intracranial injury, unspecified",HIGH
"Myalgia - patient stable, outpatient treatment",LOW
"Gastritis, unspecified",LOW
Traumatic shock,HIGH
"Minor condition, follow-up in 2 weeks due to Acute upper respiratory infection, unspecified",LOW
"J43.9: Emphysema, unspecified (fatal prognosis risk)",HIGH
"Chronic gingivitis - patient stable, outpatient treatment",LOW
"Sepsis, unspecified organism - severe trauma protocol active",HIGH
Malignant neoplasm of unspecified site of breast - fatal prognosis risk,HIGH
suspected unspecified cirrhosis of liver,HIGH
"rheumatoid arthritis, problem",MEDIUM
"Patient stable, outpatient treatment due to Low back pain",LOW
Infectious gastroenteritis and colitis - follow-up required in 1 week,MEDIUM
"K59.00: Constipation, unspecified (minor pain, prescribed rest)",LOW
confirmed case of low back pain,LOW
"otitis media, problem",LOW
"J06.9 - Acute upper respiratory infection, unspecified",LOW
C61: Malignant neoplasm of prostate (severe trauma protocol active),HIGH
history of infectious gastroenteritis and colitis,MEDIUM
"K50.90: Crohn disease, unspecified (stable but requires medication adjustment)",MEDIUM
"confirmed case of malignant neoplasm of pancreas, unspecified",HIGH
"I50.9: Heart failure, unspecified (critical condition, ICU admission)",HIGH
"Functional dyspepsia - patient stable, outpatient treatment",LOW
Age-related osteoporosis without fracture - needs specialist referral,MEDIUM
"Migraine, unspecified, not intractable",MEDIUM
"Panniculitis, unspecified",LOW
"Acute nasopharyngitis (common cold) - mild symptoms, no complications",LOW
chronic obstructive problem,MEDIUM
"Thrombocytopenia, unspecified - follow-up required in 1 week",MEDIUM
"Type 2 diabetes mellitus without complications - moderate symptoms, requires monitoring",MEDIUM
history of malignant neoplasm of prostate,HIGH
"Severe trauma protocol active due to Abdominal aortic aneurysm, ruptured",HIGH
"Confirmed case of Malignant neoplasm of colon, unspecified",HIGH
L60.0 - Ingrowing nail,LOW
infectious gastroenteritis and colitis,MEDIUM
spondylosis with problem,MEDIUM
"G91.9 - Hydrocephalus, unspecified",HIGH
Chronic viral hepatitis C - stable but requires medication adjustment,MEDIUM
L70.0: Acne vulgaris (routine exam),LOW
unspecified abdominal problem,LOW
Diverticulosis of large intestine,MEDIUM
"Viral wart, unspecified - slight discomfort reported",LOW
M81.0: Age-related osteoporosis without fracture (recurring symptoms),MEDIUM
"R30.0: Dysuria (minor condition, follow-up in 2 weeks)",LOW
"Unspecified abdominal pain - mild symptoms, no complications",LOW
history of lateral epicondylitis,LOW
"Viral wart, unspecified - patient stable, outpatient treatment",LOW
"Assessment: Post-traumatic stress disorder, unspecified",MEDIUM
A09 - Infectious gastroenteritis and colitis,MEDIUM
mild intermittent problem,MEDIUM
"K74.60: Unspecified cirrhosis of liver (critical condition, ICU admission)",HIGH
"C43.9: Malignant melanoma of skin, unspecified (immediate surgery required)",HIGH
Fatal prognosis risk due to Malignant neoplasm of unspecified part of bronchus or lung,HIGH
"Severe trauma protocol active due to Schizophrenia, unspecified",HIGH
"Moderate symptoms, requires monitoring due to Epilepsy, unspecified, not intractable",MEDIUM
"Acute emergency, rapid response due to Bacterial infection, unspecified (severe)",HIGH
Immediate surgery required due to Traumatic shock,HIGH
Chronic gingivitis,LOW
No acute distress due to Allergic rhinitis due to pollen,LOW
"Flare-up event due to Atopic dermatitis, unspecified",MEDIUM
paroxysmal atrial problem,MEDIUM
Chronic gingivitis,LOW
Acute nasopharyngitis (common cold) - slight discomfort reported,LOW
"C43.9: Malignant melanoma of skin, unspecified (life-threatening, immediate intervention)",HIGH
B20: Human immunodeficiency virus (HIV) disease (severe trauma protocol active),HIGH
"Hypothyroidism, unspecified - recurring symptoms",MEDIUM
"E05.90: Thyrotoxicosis, unspecified (recurring symptoms)",MEDIUM
"I50.9: Heart failure, unspecified (life-threatening, immediate intervention)",HIGH
"suspected cardiac arrest, cause unspecified",HIGH
acute upper problem,LOW
"cerebral infarction, unspecified (stroke)",HIGH
"Confirmed case of Urticaria, unspecified",LOW
J44.1: Chronic obstructive pulmonary disease with exacerbation (stable but requires medication adjustment),MEDIUM
M81.0: Age-related osteoporosis without fracture (follow-up required in 1 week),MEDIUM
acute leukemia of unspecified cell type,HIGH
patient presents with malignant neoplasm of unspecified part of bronchus or lung,HIGH
"Severe presentation, urgent care needed due to Acute and subacute hepatic failure",HIGH
"K02.9: Dental caries, unspecified (minor condition, follow-up in 2 weeks)",LOW
"Severe trauma protocol active due to Malignant neoplasm of pancreas, unspecified",HIGH
"Self-limiting condition due to Allergic rhinitis, unspecified",LOW
"Mild symptoms, no complications due to Impacted cerumen, unspecified ear",LOW
"Assessment: Spondylosis with radiculopathy, cervical",MEDIUM
Infectious gastroenteritis and colitis,MEDIUM
"Advanced stage, palliative care discussed due to Hydrocephalus, unspecified",HIGH
"Epilepsy, unspecified, not intractable - follow-up required in 1 week",MEDIUM
"Acute emergency, rapid response due to Bacterial infection, unspecified (severe)",HIGH
"D64.9: Anemia, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"Emphysema, unspecified - severe trauma protocol active",HIGH
history of essential (primary) hypertension,MEDIUM
Pulmonary embolism without acute cor pulmonale - severe trauma protocol active,HIGH
low back problem,LOW
No acute distress due to Myalgia,LOW
"H66.90 Otitis media,",LOW
"Advanced stage, palliative care discussed due to Traumatic shock",HIGH
"cerebral infarction, unspecified (stroke)",HIGH
L70.0: Acne vulgaris (no acute distress),LOW
Fatal prognosis risk due to Pulmonary embolism without acute cor pulmonale,HIGH
Vitamin E deficiency - no acute distress,LOW
"D64.9: Anemia, unspecified (flare-up event)",MEDIUM
"Recurring symptoms due to Peripheral vascular disease, unspecified",MEDIUM
Acute nasopharyngitis (common cold),LOW
"Fatal prognosis risk due to Abdominal aortic aneurysm, ruptured",HIGH
"Epilepsy, unspecified, not intractable",MEDIUM
"Dyslipidemia, unspecified - needs specialist referral",MEDIUM
"Pneumonia, unspecified organism",MEDIUM
pain in problem,LOW
patient presents with functional dyspepsia,LOW
I26.99: Pulmonary embolism without acute cor pulmonale (fatal prognosis risk),HIGH
"C22.0: Liver cell carcinoma (advanced stage, palliative care discussed)",HIGH
Malignant neoplasm of unspecified part of bronchus or lung - immediate surgery required,HIGH
"T14.0: Superficial injury of unspecified body region (mild symptoms, no complications)",LOW
"History of Urinary tract infection, site not specified",LOW
"Peripheral vascular disease, unspecified - flare-up event",MEDIUM
Multiple sclerosis - severe trauma protocol active,HIGH
"N18.3 - Chronic kidney disease, stage 3",MEDIUM
Follow-up required in 1 week due to Generalized anxiety disorder,MEDIUM
"Viral infection, unspecified - patient stable, outpatient treatment",LOW
pain in problem,LOW
"Patient stable, outpatient treatment due to Allergic rhinitis, unspecified",LOW
"Critical condition, icu admission due to Malignant melanoma of skin, unspecified",HIGH
Immediate surgery required due to Acute leukemia of unspecified cell type,HIGH
"history of post-traumatic stress disorder, unspecified",MEDIUM
Calculus of gallbladder without obstruction - follow-up required in 1 week,MEDIUM
"K51.90: Ulcerative colitis, unspecified (uncomfortable episode, managing with meds)",MEDIUM
Chronic gingivitis - slight discomfort reported,LOW
"Acute emergency, rapid response due to Intracranial injury, unspecified",HIGH
confirmed case of calculus of gallbladder without obstruction,MEDIUM
"J43.9: Emphysema, unspecified (immediate surgery required)",HIGH
"Critical condition, icu admission due to Abdominal aortic aneurysm, ruptured",HIGH
"Abdominal aortic aneurysm, ruptured - critical condition, ICU admission",HIGH
Allergic rhinitis due to pollen - no acute distress,LOW
paroxysmal atrial fibrillation,MEDIUM
calculus of problem,MEDIUM
"assessment: atopic dermatitis, unspecified",MEDIUM
"Fatal prognosis risk due to Cerebral infarction, unspecified (stroke)",HIGH
"J45.20: Mild intermittent asthma, uncomplicated (flare-up event)",MEDIUM
Assessment: Psoriasis vulgaris,MEDIUM
"Anemia, unspecified",MEDIUM
"A41.9: Sepsis, unspecified organism (severe trauma protocol active)",HIGH
"Rheumatoid arthritis, unspecified",MEDIUM
acute leukemia of unspecified cell type,HIGH
Essential (primary) hypertension - follow-up required in 1 week,MEDIUM
"Moderate symptoms, requires monitoring due to Atopic dermatitis, unspecified",MEDIUM
Multiple sclerosis,HIGH
Patient presents with Type 2 diabetes mellitus without complications,MEDIUM
Nervousness,LOW
confirmed case of obstructive sleep apnea,MEDIUM
"heart failure, unspecified",HIGH
Calculus of gallbladder without obstruction,MEDIUM
"R45.0: Nervousness (minor condition, follow-up in 2 weeks)",LOW
patient presents with end stage renal disease,HIGH
"I63.9: Cerebral infarction, unspecified (stroke) (life-threatening, immediate intervention)",HIGH
"Mild symptoms, no complications due to Allergic rhinitis due to pollen",LOW
"Severe presentation, urgent care needed due to Abdominal aortic aneurysm, ruptured",HIGH
"S90.0: Contusion of ankle (minor condition, follow-up in 2 weeks)",LOW
Suspected Functional dyspepsia,LOW
J44.1 Chronic obstructive,MEDIUM
Pain in unspecified joint - slight discomfort reported,LOW
"Suspected Conjunctivitis, unspecified",LOW
"Acute myocardial infarction, unspecified - life-threatening, immediate intervention",HIGH
"Viral wart, unspecified - routine exam",LOW
Assessment: Psoriasis vulgaris,MEDIUM
"J03.90 - Acute tonsillitis, unspecified",LOW
"C34.90: Malignant neoplasm of unspecified part of bronchus or lung (life-threatening, immediate intervention)",HIGH
"Life-threatening, immediate intervention due to Pulmonary embolism without acute cor pulmonale",HIGH
"Routine exam due to Viral wart, unspecified",LOW
"Severe presentation, urgent care needed due to End stage renal disease",HIGH
Follow-up required in 1 week due to Chronic obstructive pulmonary disease with exacerbation,MEDIUM
pain in problem,LOW
"Allergy, unspecified - minor condition, follow-up in 2 weeks",LOW
"No acute distress due to Constipation, unspecified",LOW
"Acute tonsillitis, unspecified - slight discomfort reported",LOW
Flare-up event due to Essential (primary) hypertension,MEDIUM
"assessment: dental caries, unspecified",LOW
gastro-esophageal reflux problem,MEDIUM
"Suspected Constipation, unspecified",LOW
"H66.90: Otitis media, unspecified (mild symptoms, no complications)",LOW
J80 Acute respiratory,HIGH
K30 - Functional dyspepsia,LOW
"Mild symptoms, no complications due to Contusion of finger",LOW
Chronic gingivitis - no acute distress,LOW
A09: Infectious gastroenteritis and colitis (needs specialist referral),MEDIUM
"Follow-up required in 1 week due to Crohn disease, unspecified",MEDIUM
"Low back pain - patient stable, outpatient treatment",LOW
